city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,11.89,26.6,6.16,6.51,6.83,5.35,9.52,0.64,0.67,0.67,0.67,1.16,0.67,4.03,0.67,0.67,0.67,0.67,0.16,3.65,0.39,0.67,0.34,0.42,0.09,2.68,2.09,1.15,1.01,5.13,4.54,6.85,6.46,6.44,4.93,20.45,26.45,28.65,5.66,61.16,6.46,1.73,4.81,2.29,3.23,3.15,2.0,1.31,3.62,1.65,4.77,1.0,2.13,1.63,0.42,9.39,3.51,0.4,4.74,1.8,2.11,2.83,4.28,0.22,1.4,2.7,1.34,0.95,1.26,2.56,1.6,0.67,2.33,0.42,0.94,0.96,3.35,3.24,1.69,2.36,1.32,1.92,2.38,3.57,1.75,2.11,4.11,5.75,5.56,5.35,4.69,3.15,2.34,4.76,4.51,3.01,7.81,1.67,3.96,4.21,0.28,0.13,0.59,0.24,0.23,0.64,0.21,0.23,0.45,1.07,0.22,0.49,0.23,0.26,0.29,0.8,0.12,0.06,0.1,0.21,0.09,0.08,0.47,0.19,0.77,1.98,0.48,0.51,0.98,0.23,0.71,0.75,0.38,0.43,0.56,0.48,0.8,0.3,0.71,0.25,0.38,0.16,1.15,0.16,0.5,0.11,0.7,0.14,0.47,0.94,0.23,0.15,0.37,0.19,0.17,0.17,0.46,0.29,0.31,0.14,1.54,1.45,0.56,0.66,1.12,1.58,1.19,1.18,2.41,2.24,0.47,0.77,0.75,3.13,2.85,1.13,1.94,0.88,0.88,1.57,0.8,2.16,1.58,1.07,1.21,2.69,0.72,0.52,1.18,2.01,0.88,2.25,1.72,2.01,,0.19,0.1,0.21,0.19,0.16,0.25,0.04,0.09,0.18,0.23,0.34,0.48,,,0.27,0.52,0.1,0.22,0.09,0.39,0.42,0.34,0.17,0.49,0.22,0.36,0.55,0.29,0.14,0.1,0.23,0.09,0.13,0.05,0.06,0.14,0.06,0.14,0.07,0.08,0.11,0.06,0.17,0.03,0.04,0.03,,0.05,0.02,0.18,0.11,0.36,0.08,0.35,0.15,0.01,0.03,0.02,0.04,0.05,0.02,0.03,0.12,0.39,1.77,,,0.33,0.09,0.19,0.15,0.13,0.47,0.85,0.14,0.07,0.15,0.56,0.16,0.17,0.09,0.13,0.24,0.78,0.14,0.07,,0.6,0.09,0.25,0.1,0.03,0.47,0.07,,,,0.29,0.13,0.11,0.14,0.05,0.03,0.05,0.12,0.11,0.06,0.05,0.44,0.07,0.19,,,0.03,,,,,,,0.88,1.05,1.69,0.47,1.49,0.95,1.16,0.49,1.35,1.04,0.59,0.03,0.35,0.98,0.9,0.49,0.46,1.04,0.38,1.84,0.38,1.0,0.08,0.2,0.31,,,,0.09,,,0.34,0.53,0.33,0.16,0.33,0.22,0.99,1.29,,,1.88,0.44,0.94,1.27,1.79,1.86,1.4,2.38,0.74,0.46,
天津市,7.32,,16.16,2.83,3.36,4.84,3.81,6.15,0.31,0.45,0.45,0.45,0.69,0.45,5.29,0.45,0.45,0.45,0.45,,0.47,,0.45,,,,0.53,1.23,0.22,0.28,0.63,4.34,30.54,8.39,8.14,4.2,5.55,6.1,6.47,19.99,14.04,6.28,0.62,2.44,1.81,1.87,0.7,0.79,0.9,1.06,0.98,1.47,1.33,0.47,1.14,0.21,3.26,3.24,0.78,3.16,0.82,1.54,1.29,0.87,0.15,0.85,1.84,0.93,1.04,0.47,1.09,1.5,0.45,1.53,0.43,0.84,0.76,2.05,2.52,0.94,1.93,1.24,1.81,3.1,1.38,0.72,1.93,1.14,3.38,6.26,3.54,1.19,0.6,2.27,2.46,1.1,1.18,2.6,3.41,2.4,3.85,0.14,0.17,0.47,0.13,0.1,0.52,0.26,0.17,0.3,0.42,0.12,0.3,0.23,0.16,0.28,0.45,0.05,0.04,0.11,0.27,0.05,0.46,0.36,0.16,0.23,0.68,0.12,0.06,0.08,0.14,0.06,0.56,0.09,0.11,0.61,0.22,0.07,0.24,0.23,0.07,0.33,0.1,0.73,0.11,0.33,0.03,0.11,0.07,0.29,0.35,,0.06,0.29,,0.16,,0.09,0.09,0.15,0.09,1.21,0.94,0.75,0.53,1.59,1.07,0.94,1.27,1.86,1.19,0.19,0.4,0.46,8.75,2.76,4.28,2.05,0.27,0.4,0.34,0.31,1.31,1.28,0.49,0.24,2.08,0.22,0.37,0.22,0.53,0.52,0.42,0.62,0.97,,0.06,0.05,0.15,0.06,0.09,,,0.03,0.11,0.28,,0.09,0.25,,0.08,0.06,0.05,0.23,,0.13,0.06,0.06,0.06,0.05,,0.05,0.08,,0.07,,,,0.03,0.04,,0.02,,0.01,,,,0.02,,,,,,0.02,,,,,,,,,,,,0.01,,0.03,,0.08,0.18,,,0.12,0.08,,,0.04,0.11,0.11,,,,0.12,,0.1,,0.11,0.13,,,,,,0.03,,0.07,,,,0.07,,,0.04,,,,,,,,0.06,,,0.1,,,,,,,,,,,,0.18,,0.2,0.14,0.21,0.1,0.39,0.19,0.32,0.12,0.19,0.03,0.25,0.37,0.56,0.35,0.15,0.47,0.04,1.56,0.37,0.54,0.02,0.25,,,,,0.04,,,0.03,0.07,0.24,0.09,,0.08,0.3,,,,,,0.07,0.07,,0.12,0.12,0.26,0.37,,
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,0.73,0.59,0.77,1.88,0.57,1.82,1.78,2.02,,0.82,0.82,0.82,4.26,0.82,3.39,0.82,0.82,0.82,0.82,0.22,2.4,1.56,0.82,0.65,1.0,0.09,1.98,2.89,0.45,0.75,2.26,0.61,0.24,0.68,0.69,0.86,0.47,0.48,0.27,0.53,0.16,0.56,0.59,0.37,0.79,0.78,1.66,0.22,0.41,2.4,0.36,0.71,0.41,0.21,0.13,0.04,0.36,0.38,0.04,1.16,0.3,0.29,0.36,0.17,0.15,0.5,1.33,0.34,0.47,0.32,0.45,0.41,0.82,0.39,0.34,0.08,0.32,0.25,0.35,0.75,1.23,0.38,0.4,0.64,0.39,0.33,0.21,1.6,1.35,1.14,2.11,0.49,0.88,0.51,0.08,0.99,0.64,1.33,1.07,0.56,2.45,2.48,5.12,3.32,4.15,30.44,16.36,3.21,5.05,8.45,6.32,2.26,6.66,4.3,3.27,5.39,3.98,14.82,3.85,4.29,2.56,1.63,25.94,3.97,2.22,3.97,8.09,7.32,10.38,2.61,3.27,2.95,5.9,4.02,4.4,6.78,3.32,7.7,5.59,5.32,7.94,1.4,0.36,1.98,1.84,0.72,0.44,5.16,0.45,3.53,2.8,2.35,1.13,3.23,1.39,3.14,1.42,1.74,2.0,4.09,3.15,0.62,1.27,0.57,2.14,0.31,1.6,0.86,1.68,0.78,1.79,0.48,0.49,2.65,0.54,0.62,0.27,2.99,0.96,1.85,2.06,1.46,1.49,2.02,1.19,1.74,2.71,1.81,1.37,1.72,2.56,3.35,6.92,4.22,4.11,,0.18,0.67,0.84,0.73,1.39,,0.36,0.27,2.08,0.7,0.41,0.09,1.28,,0.43,0.97,0.21,0.39,0.38,0.75,0.55,0.22,0.4,0.39,0.3,0.42,0.51,0.35,0.22,0.07,0.23,0.15,0.28,0.07,0.1,0.18,0.09,0.07,0.08,0.13,0.18,0.1,0.11,0.04,0.09,0.07,0.21,0.15,0.03,0.24,0.17,0.19,0.06,0.78,0.13,0.04,0.05,0.05,0.03,0.06,0.11,0.12,0.15,0.4,1.21,,,0.49,0.28,0.14,0.45,0.43,1.08,0.76,0.85,0.23,0.33,0.69,0.43,0.45,0.52,0.64,0.06,2.62,0.36,0.07,0.05,0.21,0.26,0.13,0.6,0.32,0.21,0.35,0.17,0.35,0.2,0.41,0.38,0.16,0.4,0.25,0.15,0.39,0.4,0.32,0.28,0.2,0.38,0.26,0.17,0.18,,0.03,,,,,,,0.65,0.44,0.85,0.62,1.03,0.21,1.55,0.09,1.12,0.97,0.7,0.03,0.1,0.74,2.31,0.65,0.46,0.9,0.35,1.52,0.96,2.11,0.19,0.35,0.11,,,,0.04,,,,0.34,0.24,0.1,0.41,0.16,0.93,0.37,,,0.44,0.67,,1.03,,,,0.44,1.03,0.46,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
