city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,20.15,45.25,24.79,17.19,20.18,13.67,18.15,1.45,3.07,3.22,4.2,5.11,2.92,16.48,12.48,1.16,3.73,2.46,1.77,8.82,1.95,2.88,2.66,2.34,0.57,10.65,8.52,4.67,7.14,10.78,16.83,18.38,15.38,20.01,15.96,41.8,42.11,46.36,13.89,58.77,18.69,6.08,12.41,12.24,12.89,14.62,7.13,6.27,15.25,7.53,16.74,5.96,8.95,8.91,3.07,16.26,9.65,2.29,8.42,5.59,5.32,5.09,9.28,1.96,5.57,8.7,4.36,5.43,5.79,8.12,5.74,4.4,8.23,3.32,3.68,3.45,8.76,6.99,5.54,7.7,3.66,5.68,6.57,6.15,3.49,5.73,9.35,9.96,7.79,10.11,10.71,8.71,6.9,6.34,10.88,6.25,13.67,6.49,4.12,5.9,1.17,0.87,1.83,1.11,0.83,1.62,1.77,0.88,0.82,1.11,0.75,1.08,1.04,1.65,1.9,3.17,0.49,1.18,1.17,1.61,1.98,0.69,1.61,0.71,2.03,4.56,2.31,1.31,2.15,1.8,2.19,2.97,3.97,1.78,2.65,2.21,2.05,1.58,1.56,1.51,2.5,1.16,3.23,1.74,1.18,0.45,1.83,2.07,1.17,2.76,3.35,2.23,1.76,1.92,2.59,1.36,2.34,1.74,1.62,1.3,6.26,6.39,5.07,5.49,7.21,8.77,6.3,4.94,7.38,10.28,3.59,4.65,4.52,8.11,9.11,3.91,8.95,4.83,4.45,7.7,4.54,7.68,4.81,5.32,6.01,6.47,4.04,3.27,6.27,9.37,4.96,7.96,7.04,5.6,,0.15,0.32,0.52,0.38,0.2,0.13,,0.27,0.42,0.14,0.75,0.57,0.05,,1.26,1.85,1.0,1.13,0.95,2.08,2.77,2.27,1.03,2.61,1.45,2.17,2.89,1.28,0.72,0.21,0.76,0.8,0.53,0.27,0.49,0.36,0.25,0.43,0.28,0.09,0.1,0.04,0.37,0.18,0.28,0.51,0.31,0.23,0.09,1.01,0.91,1.38,0.48,2.67,0.24,0.25,0.29,0.24,0.22,0.42,0.35,0.27,0.28,1.69,4.62,,,1.32,0.41,0.44,0.66,0.38,1.2,1.84,0.73,0.33,0.87,0.87,0.67,0.76,0.43,0.51,0.83,1.21,0.43,0.05,0.07,0.15,1.28,0.87,0.53,0.18,2.46,0.72,0.1,0.29,0.45,1.31,0.29,0.71,0.27,0.16,0.14,0.39,0.29,0.34,0.39,0.02,4.3,1.11,0.59,,,,,,,,,,3.4,2.18,6.1,2.09,5.25,2.41,4.85,3.27,4.33,3.43,3.76,0.97,4.23,2.3,4.75,3.25,3.06,3.15,3.51,6.36,3.0,4.28,0.79,0.75,1.36,,,,,,,0.92,3.93,1.82,0.79,1.24,1.33,3.21,0.19,,,0.86,0.16,2.23,1.57,0.8,1.06,2.42,0.93,0.24,,
天津市,6.38,,16.65,4.3,3.85,5.15,4.0,5.73,0.36,0.75,0.82,0.78,0.94,0.48,6.19,1.55,0.14,0.26,0.31,0.21,1.07,0.22,0.33,0.12,0.14,0.09,1.05,1.42,0.32,0.94,0.5,5.03,26.91,7.98,9.59,4.01,5.11,5.06,5.56,23.18,14.54,6.65,0.9,2.93,2.53,2.11,2.27,1.9,1.65,1.38,1.13,2.5,1.11,1.59,1.8,0.46,3.54,2.32,0.58,2.35,1.36,1.69,0.98,1.21,0.45,0.82,1.71,0.98,1.87,1.12,2.09,2.04,1.35,1.79,0.67,0.89,1.06,2.13,3.3,1.14,1.77,1.35,2.36,3.59,2.71,1.13,1.29,2.6,3.62,3.82,2.1,1.08,2.19,1.08,3.05,2.2,0.79,2.93,2.74,1.56,0.43,0.16,0.2,0.72,0.1,0.14,0.42,0.33,0.16,0.43,0.13,0.1,0.26,0.15,0.36,0.54,1.05,0.09,0.12,0.13,0.21,0.16,0.26,0.89,0.08,0.23,0.92,0.11,0.19,0.08,0.26,0.18,0.93,0.31,0.18,0.88,0.4,0.21,0.4,0.47,0.13,0.29,0.17,0.62,0.18,0.44,0.09,0.2,0.12,0.46,0.45,0.22,0.6,0.45,0.35,0.05,0.21,0.29,0.2,0.5,0.17,1.8,0.9,1.03,0.88,2.25,0.93,1.36,1.23,2.5,1.55,0.88,0.81,0.94,9.84,2.74,6.25,2.56,0.4,0.53,0.93,0.29,1.66,1.31,0.86,0.59,1.52,0.36,0.54,0.55,0.49,0.84,0.34,0.95,0.66,,0.08,,0.04,0.08,,,0.04,,0.02,,0.04,,0.02,,0.19,0.11,0.07,0.13,0.09,0.16,0.11,0.29,0.1,0.07,,0.05,0.15,,0.07,0.03,0.16,0.11,,,0.03,,,0.01,0.03,0.01,0.02,0.02,0.1,0.01,0.05,0.07,0.01,,,0.09,0.12,0.21,0.05,0.41,0.08,0.04,0.02,0.02,,0.06,,,,0.15,0.53,,,0.1,0.02,,0.07,0.06,0.18,0.19,0.1,0.02,0.16,0.15,0.04,0.06,0.06,0.08,0.11,0.15,0.05,,,,0.04,0.03,0.09,,0.05,,,0.06,,0.04,0.05,,,,,,,0.13,0.06,0.02,,0.07,0.08,,,,,,,,,,0.22,0.1,0.31,0.31,0.56,0.44,0.74,0.29,0.86,0.28,0.29,,0.33,0.48,1.32,0.42,0.72,0.9,0.34,1.03,0.18,1.03,0.12,,0.06,,,0.15,,,,,0.35,0.41,0.21,0.2,0.19,,,,,0.03,0.16,0.08,0.11,,,,,0.08,,
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1.39,1.67,1.52,4.31,1.36,5.11,3.6,4.27,,41.51,29.77,25.18,11.9,13.11,9.29,11.18,1.37,4.21,2.61,1.74,2.98,3.84,4.2,2.1,1.98,,5.77,5.08,2.96,2.56,6.08,1.73,1.14,0.77,1.3,1.19,0.7,0.8,0.43,0.95,0.37,0.98,1.95,1.21,1.89,2.72,2.41,1.11,1.5,3.77,0.78,1.89,0.61,0.88,1.13,0.15,0.63,0.59,0.33,1.25,0.79,0.33,0.49,0.32,,1.36,4.69,1.15,1.82,1.37,2.87,0.83,1.03,1.21,0.92,0.69,0.67,0.92,1.16,1.87,2.34,0.63,0.62,1.02,1.14,0.66,0.64,4.37,2.81,1.63,3.56,1.47,1.28,1.82,1.83,1.5,1.33,2.55,1.37,0.79,4.37,4.67,12.08,9.67,9.33,33.63,32.9,7.35,11.12,17.61,13.05,7.1,13.88,11.85,10.08,17.16,15.05,27.69,12.82,14.42,10.12,9.59,33.83,15.47,10.34,9.35,19.2,16.28,22.3,6.43,8.85,9.44,13.69,18.11,10.11,15.73,9.91,15.11,10.38,15.3,23.77,4.16,1.31,4.01,3.87,2.05,1.55,11.26,2.49,10.59,6.64,9.86,4.35,9.9,8.42,8.68,4.39,7.17,5.97,11.42,16.83,1.94,4.0,2.75,8.99,1.14,4.47,2.88,3.64,2.98,3.96,2.14,2.51,7.44,1.55,2.09,1.08,6.22,3.09,3.43,7.32,3.76,2.6,4.18,3.29,4.18,2.37,3.5,4.22,3.51,5.36,8.42,9.76,8.03,5.06,,0.12,0.48,0.47,0.23,0.27,,0.41,0.09,0.28,0.42,1.73,0.08,0.2,,1.4,2.5,1.24,1.64,1.83,2.36,2.23,2.24,1.72,1.51,2.09,2.64,1.88,1.58,0.59,0.55,0.63,0.44,1.24,0.33,0.29,0.57,0.22,0.16,0.39,0.31,0.47,0.13,0.17,0.32,0.33,0.23,0.76,0.43,0.11,0.65,1.65,1.84,0.66,1.0,0.24,0.06,0.3,0.33,0.08,0.81,0.36,0.46,0.37,0.83,1.5,,,0.94,0.66,0.89,0.55,0.79,2.53,2.08,1.59,0.68,0.6,2.22,0.62,0.89,0.72,1.29,0.31,3.32,0.51,,,0.33,1.31,0.57,1.22,0.81,0.36,0.65,0.28,1.1,0.85,1.13,0.51,0.28,0.47,0.36,0.14,0.46,0.18,0.41,0.25,0.28,0.94,0.55,0.08,,0.12,,,,,,,,2.08,0.7,3.01,1.7,2.47,1.09,3.83,0.3,2.67,1.43,2.4,0.78,2.22,1.42,4.79,1.82,2.58,1.56,1.28,1.8,1.97,1.58,0.24,,0.86,,,,,1,,,1.14,0.64,0.3,0.9,0.51,2.3,0.19,,,0.74,1.13,0.33,0.22,0.26,1.6,0.74,0.76,0.08,0.54,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
