city_name,北京市,天津市,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海市,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆市,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍兴市,金华市,衢州市,舟山市,台州市,丽水市,合肥市,芜湖市,蚌埠市,淮南市,马鞍山市,淮北市,铜陵市,安庆市,黄山市,滁州市,阜阳市,宿州市,六安市,亳州市,池州市,宣城市,福州市,厦门市,莆田市,三明市,泉州市,漳州市,南平市,龙岩市,宁德市,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市,济南市,青岛市,淄博市,枣庄市,东营市,烟台市,潍坊市,济宁市,泰安市,威海市,日照市,莱芜市,临沂市,德州市,聊城市,滨州市,菏泽市,郑州市,开封市,洛阳市,平顶山市,安阳市,鹤壁市,新乡市,焦作市,濮阳市,许昌市,漯河市,三门峡市,南阳市,商丘市,信阳市,周口市,驻马店市,省直辖县级行政区划,武汉市,黄石市,十堰市,宜昌市,襄阳市,鄂州市,荆门市,孝感市,荆州市,黄冈市,咸宁市,随州市,恩施土家族苗族自治州,省直辖县级行政区划,长沙市,株洲市,湘潭市,衡阳市,邵阳市,岳阳市,常德市,张家界市,益阳市,郴州市,永州市,怀化市,娄底市,湘西土家族苗族自治州,广州市,韶关市,深圳市,珠海市,汕头市,佛山市,江门市,湛江市,茂名市,肇庆市,惠州市,梅州市,汕尾市,河源市,阳江市,清远市,东莞市,中山市,潮州市,揭阳市,云浮市,南宁市,柳州市,桂林市,梧州市,北海市,防城港市,钦州市,贵港市,玉林市,百色市,贺州市,河池市,来宾市,崇左市,海口市,三亚市,三沙市,省直辖县级行政区划,成都市,自贡市,攀枝花市,泸州市,德阳市,绵阳市,广元市,遂宁市,内江市,乐山市,南充市,眉山市,宜宾市,广安市,达州市,雅安市,巴中市,资阳市,阿坝藏族羌族自治州,甘孜藏族自治州,凉山彝族自治州,贵阳市,六盘水市,遵义市,安顺市,毕节市,铜仁市,黔西南布依族苗族自治州,黔东南苗族侗族自治州,黔南布依族苗族自治州,昆明市,曲靖市,玉溪市,保山市,昭通市,丽江市,普洱市,临沧市,楚雄彝族自治州,红河哈尼族彝族自治州,文山壮族苗族自治州,西双版纳傣族自治州,大理白族自治州,德宏傣族景颇族自治州,怒江傈僳族自治州,迪庆藏族自治州,拉萨市,昌都地区,山南地区,日喀则地区,那曲地区,阿里地区,林芝地区,西安市,铜川市,宝鸡市,咸阳市,渭南市,延安市,汉中市,榆林市,安康市,商洛市,兰州市,嘉峪关市,金昌市,白银市,天水市,武威市,张掖市,平凉市,酒泉市,庆阳市,定西市,陇南市,临夏回族自治州,甘南藏族自治州,西宁市,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,银川市,石嘴山市,吴忠市,固原市,中卫市,乌鲁木齐市,克拉玛依市,吐鲁番地区,哈密地区,昌吉回族自治州,博尔塔拉蒙古自治州,巴音郭楞蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克自治州,塔城地区,阿勒泰地区,自治区直辖县级行政区划
北京市,,22.04,42.55,25.22,16.46,20.09,12.16,15.18,1.94,4.08,3.22,3.93,3.58,2.34,17.71,11.01,1.07,2.11,2.06,1.15,7.27,1.51,2.42,1.28,1.79,1.62,9.23,7.03,4.39,6.37,10.12,18.76,20.11,16.82,19.82,15.86,39.88,38.89,40.06,15.38,54.17,19.8,8.57,13.3,11.56,11.0,9.77,6.4,7.12,13.47,6.82,17.07,5.01,10.0,10.43,2.64,13.18,8.26,2.94,8.26,5.89,4.67,5.32,8.37,1.01,6.82,9.31,5.2,5.45,5.28,8.46,6.55,5.01,5.86,3.66,4.49,3.2,6.19,8.05,5.63,6.68,3.25,5.06,6.76,6.34,3.06,3.8,8.65,8.94,5.27,6.93,6.37,6.34,5.03,5.12,6.12,4.73,9.87,3.55,3.23,3.96,1.85,1.37,2.35,1.62,1.0,2.16,2.03,1.19,1.39,2.09,1.27,1.4,1.2,1.61,1.6,1.99,0.88,0.99,1.25,1.56,0.91,1.06,1.7,1.64,2.61,4.87,2.05,1.44,3.13,1.67,1.95,3.02,1.93,1.74,2.88,2.26,1.72,1.67,1.76,1.6,2.0,1.09,1.16,0.86,0.79,0.6,0.93,1.3,1.12,2.52,1.48,1.01,1.93,1.64,1.03,1.62,2.67,1.19,1.41,1.05,7.43,7.92,5.42,4.85,5.75,9.64,7.16,6.7,9.7,9.63,4.15,6.08,5.53,10.01,10.32,5.04,8.65,5.45,3.71,6.9,4.73,8.11,5.72,5.55,6.1,8.18,4.71,4.38,5.9,7.12,4.5,8.85,6.68,6.49,,0.2,,0.29,0.33,0.51,,0.09,0.29,0.37,0.35,0.8,0.42,0.13,,1.6,1.45,0.69,0.84,0.65,1.55,1.78,1.56,0.94,0.98,0.54,1.01,1.23,1.05,0.84,0.13,1.04,0.99,0.47,0.36,0.16,0.26,0.14,0.16,0.36,0.11,0.13,0.06,0.37,0.15,0.26,0.47,0.22,0.12,0.06,0.84,0.54,1.0,0.15,2.74,0.3,0.09,0.16,0.17,0.14,0.29,0.22,0.12,0.2,1.57,6.01,,,1.55,0.44,0.34,0.34,0.55,1.3,1.99,0.62,0.26,0.78,0.84,0.48,0.54,0.43,0.85,0.39,1.57,0.26,0.18,0.4,0.42,0.64,0.6,0.37,0.25,0.82,0.2,0.33,0.26,0.14,1.11,0.22,0.48,0.45,0.13,1.11,0.44,0.21,0.1,0.23,0.14,2.11,1.01,1.19,,0.41,0.57,,,,,,,4.11,2.4,4.95,2.01,3.95,2.05,3.77,2.27,3.09,2.28,3.78,1.54,1.63,2.56,3.71,1.63,2.22,3.53,2.82,5.3,2.44,4.85,0.62,0.14,1.66,,,,,,0.68,0.67,3.4,1.56,0.94,0.65,1.03,3.35,2.52,,,0.74,0.47,1.15,0.67,0.51,2.31,1.53,0.84,0.54,0.57,
天津市,5.25,,16.82,6.11,5.1,5.91,4.93,6.06,0.44,0.95,0.81,1.03,0.62,0.49,8.45,2.12,0.35,0.27,0.34,0.14,1.08,0.3,0.36,0.17,0.28,0.27,1.52,2.01,0.66,1.47,1.74,6.15,23.07,7.91,9.23,5.73,6.78,6.28,6.93,23.93,13.83,9.47,1.8,3.83,4.03,2.89,1.43,2.35,2.59,2.27,1.77,2.62,1.58,2.54,2.34,0.54,4.41,3.21,0.5,2.62,2.31,1.55,2.59,2.15,0.22,1.28,1.95,1.44,2.48,1.5,1.59,2.4,1.4,1.89,0.84,1.16,1.33,2.09,3.49,2.08,2.55,1.28,2.12,4.6,1.94,1.32,1.49,2.58,2.67,4.64,1.55,2.09,1.17,1.32,2.39,1.74,1.4,2.92,1.91,1.72,1.15,0.24,0.19,0.69,0.33,0.17,0.56,0.37,0.25,0.38,0.3,0.31,0.53,0.3,0.33,0.35,0.56,0.2,0.33,0.29,0.46,0.17,0.35,0.47,0.32,0.45,1.35,0.27,0.2,0.26,0.26,0.44,1.03,0.56,0.17,1.39,0.52,0.25,0.58,0.73,0.16,0.29,0.17,0.56,0.04,0.16,0.04,0.15,0.04,0.31,0.6,0.41,0.14,0.77,0.31,0.21,0.25,0.24,0.13,0.47,0.21,2.8,1.61,1.39,0.97,2.42,1.8,1.46,2.24,3.24,2.48,0.81,1.27,1.2,14.9,3.95,9.0,3.11,0.66,0.84,1.23,0.86,2.01,1.63,1.18,0.81,2.35,0.53,0.45,0.82,1.21,1.19,0.91,1.47,1.63,,0.08,,0.25,,0.13,,0.04,,,0.14,0.4,0.08,0.1,,0.12,0.18,0.1,0.15,0.14,0.28,0.23,0.19,0.08,,0.08,,0.16,0.16,0.15,,0.23,0.18,0.04,0.06,0.03,0.02,0.02,0.02,0.06,,0.01,,0.04,0.01,,0.05,,,,0.1,0.05,0.09,0.04,0.25,0.18,,0.03,0.03,,0.08,0.04,,,0.34,1.06,,,0.16,0.07,,,0.13,0.25,0.2,0.06,0.08,0.07,0.12,0.11,0.13,0.13,0.14,0.12,0.12,0.06,,0.05,0.16,0.11,0.04,0.06,0.05,,0.12,,0.09,,0.17,0.05,,0.06,0.04,0.3,0.09,,0.05,,,0.45,0.06,,,,0.06,,,,,,,0.49,0.18,0.65,0.43,0.77,0.42,0.63,0.32,0.96,0.47,0.6,0.11,0.28,0.73,1.12,0.86,0.54,1.07,1.19,2.3,0.6,0.78,0.14,,0.13,,0.12,,,,,0.13,0.62,0.41,0.22,0.4,0.22,0.51,0.68,,,0.27,,0.39,0.06,,0.08,0.34,,0.06,,
河北,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海市,1.65,1.82,1.26,3.16,0.94,2.8,1.78,1.91,,36.43,22.78,21.91,9.35,7.47,8.15,8.82,1.19,2.48,1.79,0.96,2.21,2.9,3.11,1.65,1.41,0.95,3.55,2.74,1.19,2.24,4.22,1.39,0.85,0.78,1.12,0.88,0.65,0.4,0.5,0.95,0.39,0.77,1.52,0.87,1.48,1.74,1.2,0.54,1.25,2.56,0.54,1.42,0.52,0.79,0.9,0.21,0.72,0.48,0.08,0.31,0.16,0.21,0.23,0.07,0.28,1.25,2.11,0.54,0.78,1.23,1.64,0.47,0.89,0.47,0.47,0.53,0.36,0.45,0.56,1.05,1.08,0.36,0.56,0.93,0.57,0.2,0.37,1.85,1.37,0.58,0.39,0.88,0.78,0.83,0.54,0.89,0.32,1.1,0.52,0.23,0.41,6.5,12.46,9.06,10.13,29.58,28.94,6.61,11.23,15.53,13.28,7.55,12.57,12.29,7.88,13.38,10.73,21.71,10.35,11.16,6.52,4.69,26.0,9.27,6.0,10.36,18.05,14.54,21.08,6.35,9.23,8.11,10.2,12.13,11.17,14.81,8.53,15.58,11.76,11.86,19.78,4.35,1.81,2.9,2.58,1.54,1.1,5.55,1.45,5.62,5.57,6.2,3.47,6.61,4.16,6.07,3.06,4.13,4.19,7.74,7.25,1.96,3.23,1.94,7.98,1.31,2.77,2.15,3.05,2.33,2.38,1.78,2.38,9.08,1.44,2.36,0.8,5.29,2.64,3.12,4.14,3.69,2.1,3.41,2.94,2.45,3.1,2.96,2.95,3.24,3.74,7.38,12.17,6.32,5.55,,0.15,0.04,0.67,0.3,0.17,,0.04,0.06,0.42,0.69,1.15,0.17,0.31,,1.41,1.8,0.91,1.19,1.09,1.83,1.67,1.56,0.74,0.86,1.16,1.7,1.26,1.38,0.68,0.31,0.72,0.58,0.87,0.22,0.32,0.19,0.11,0.19,0.29,0.1,0.24,0.12,0.07,0.09,0.26,0.31,0.42,0.2,0.1,0.47,0.95,1.05,0.22,0.72,0.26,0.11,0.18,0.27,0.21,0.34,0.27,0.16,0.18,0.9,1.54,,,1.02,0.48,0.38,0.46,0.86,1.86,1.86,1.4,0.49,0.66,1.5,0.66,0.73,0.64,1.11,0.42,3.08,0.61,0.03,0.3,0.11,0.91,0.43,0.62,0.35,0.35,0.92,0.51,0.85,0.67,0.79,0.31,0.25,0.06,0.36,0.25,0.09,0.26,0.22,0.27,0.24,1.09,0.62,0.27,0.11,0.1,0.37,,,,,,,1.61,0.28,1.87,0.87,1.48,0.25,2.26,0.19,1.7,0.9,1.56,0.38,0.78,0.76,2.44,0.72,0.44,1.07,0.42,1.67,1.24,1.39,0.14,,0.45,,,,0.23,,,0.2,1.16,0.34,0.21,0.65,0.32,1.88,0.8,,,0.31,0.19,0.31,0.48,,,,0.26,0.09,,
江苏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
